"dlnumber","filename","name"
"20428","Citrix_Virtual_Apps_and_Desktops_7_2203.iso","Citrix Virtual Apps and Desktops 7 2203 ISO"
"20477","Citrix_Virtual_Apps_and_Desktops_7_1912_5000.iso","Citrix Virtual Apps and Desktops 7 1912 CU5 ISO"
"20115","Citrix_Virtual_Apps_and_Desktops_7_2112.iso","Citrix Virtual Apps and Desktops 7 2112 ISO"

"20429","VDAServerSetup_2203.exe","Multi-session OS Virtual Delivery Agent 2203 LTSR"
"20430","VDAWorkstationSetup_2203.exe","Single-session OS Virtual Delivery Agent 2203 LTSR"
"20431","VDAWorkstationCoreSetup_2203.exe","Single-session OS Core Services Virtual Delivery Agent 2203 LTSR"

"20478","VDAServerSetup_1912.exe","Multi-session OS Virtual Delivery Agent 1912 LTSR CU5"
"20479","VDAWorkstationSetup_1912.exe","Single-session OS Virtual Delivery Agent 1912 LTSR CU5"
"20480","VDAWorkstationCoreSetup_1912.exe","Single-session OS Core Services Virtual Delivery Agent 1912 LTSR CU5"

"20116","VDAServerSetup_2112.exe","Multi-session OS Virtual Delivery Agent 2112"
"20117","VDAWorkstationSetup_2112.exe","Single-session OS Virtual Delivery Agent 2112"
"20118","VDAWorkstationCoreSetup_2112.exe","Single-session OS Core Services Virtual Delivery Agent 2112"

"19803","ProfileMgmt_2203.zip","Profile Management 2203 LTSR"
"20482","ProfileMgmt_1912.zip","Profile Management 1912 LTSR CU5"
"19803","ProfileMgmt_2112.zip","Profile Management 2112"

"20432","Citrix_Provisioning_2203.iso","Citrix Provisioning 2203 LTSR"
"20488","Citrix_Provisioning_1912_25.iso","Citrix Provisioning 1912 LTSR CU5"
"20119","Citrix_Provisioning_2112.iso","Citrix Provisioning 2112"

"9803","Citrix_Licensing_11.17.2.0_BUILD_37000.zip","License Server for Windows - Version 11.17.2.0 Build 37000"

"20791","CitrixStoreFront-x64.exe ","StoreFront 2203 LTSR"
"20485","CitrixStoreFront-x64.exe ","StoreFront 1912 LTSR CU5"

"20579","Workspace-Environment-Management-v-2203-01-00-01.zip","Workspace Environment Management 2203"

"20805","CitrixWorkspaceApp.exe","Citrix Workspace app 2204.1 for Windows"
"20804","CitrixWorkspaceApp.exe","Citrix Workspace app for Windows LTSR 2203.1"
"20580","CitrixWorkspaceApp.exe","Citrix Workspace app 19.12.7000 for Windows, LTSR Cumulative Update 7"
"20965","CitrixWorkspaceApp.dmg","Citrix Workspace app 2204 for Mac"

"20563","build-13.0-85.15_nc_64.tgz","Citrix ADC Release 13.0 Build 85.15(nCore)"
"20564","NSVPX-XEN-13.0-85.15_nc_64.xva.gz","Citrix ADC VPX for Citrix Hypervisor 13.0 Build 85.15"
"20565","NSVPX-ESX-13.0-85.15_nc_64.zip","Citrix ADC VPX for ESXi 13.0 Build 85.15"
"20567","NSVPX-HyperV-13.0-85.15_nc_64.zip","Citrix ADC VPX for Hyper-V 13.0 Build 85.15"
"20566","NSVPX-KVM-13.0-85.15_nc_64.tgz","Citrix ADC VPX for KVM 13.0 Build 85.15"
"20568","NSVPX-GCP-13.0-85.15_nc.tar.gz","Citrix ADC VPX for GCP 13.0 Build 85.15"
"20557","build-sdx-13.0-85.15.tgz","SDX Platform Software Bundle 13.0 Build 85.15"

"20611","build-13.1-21.50_nc_64.tgz","Citrix ADC Release 13.1 Build 21.50(nCore)"
"20612","NSVPX-XEN-13.1-21.50_nc_64.xva.gz","Citrix ADC VPX for Citrix Hypervisor 13.1 Build 21.50"
"20620","NSVPX-ESX-13.1-21.50_nc_64.zip","Citrix ADC VPX for ESXi 13.1 Build 21.50"
"20622","NSVPX-HyperV-13.1-21.50_nc_64.zip","Citrix ADC VPX for Hyper-V 13.1 Build 21.50"
"20621","NSVPX-KVM-13.1-21.50_nc_64.tgz","Citrix ADC VPX for KVM 13.1 Build 21.50"
"20623","NSVPX-GCP-13.1-21.50_nc.tar.gz","Citrix ADC VPX for GCP 13.1 Build 21.50"
"20605","build-sdx-13.1-21.50.tgz","SDX Platform Software Bundle 13.1 Build 21.50"

"20633","build-mas-13.1-21.50.tgz","Citrix ADM Upgrade Package - 13.1 Build 21.50"
"20637","MAS-XEN-13.1-21.50.xva.gz","Citrix ADM image for Citrix Hypervisor, 13.1 Build 21.50"
"20634","MAS-ESX-13.1-21.50.zip","Citrix ADM image for ESX, 13.1 Build 21.50"
"20635","ADM-HyperV-13.1-21.50.zip","Citrix ADM image for HyperV, 13.1 Build 21.50"
"20636","MAS-KVM-13.1-21.50.tgz","Citrix ADM image for KVM, 13.1 Build 21.50"

"8343","StorageCenter_5.11.21.msi","ShareFile StorageZones Controller 5.11.21"

"17421","CitrixHypervisor-8.2.1-install-cd.iso","Citrix Hypervisor 8.2 Base Installation ISO with Cumulative Update 1"
"17423","CitrixHypervisor-8.2.1-update.iso","Citrix Hypervisor 8.2 Cumulative Update 1"
"17426","CitrixHypervisor-8.2.4-XenCenter.msi","XenCenter 8.2.4"

"14254","XenServer-7.1.2-install-cd.iso","XenServer 7.1 Base Installation ISO with Cumulative Update 2"
"14257","XenServer-7.1.2-update.iso","XenServer 7.1 Cumulative Update 2"
"17348","XenServer-7.1.2-XenCenter-7.1.4.msi","XenCenter 7.1 CU2 Windows Management Console"

"19814","xms_10.14.0.6.xenserver.xva","XenMobile Server 10.14.0.6 (XenServer)"
"19815","xms_10.14.0.6.HyperV.zip","XenMobile Server 10.14.0.6 (HyperV)"
"19816","xms_10.14.0.6.vmware.ova","XenMobile Server 10.14.0.6 (VMWare)"
"19817","xms_10.14.0.6.bin","XenMobile Server 10.14.0.6 upgrade from 10.13 or 10.12"
